scorer,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000
bodyparts,right ear,right ear,right ear,left ear,left ear,left ear
coords,x,y,likelihood,x,y,likelihood
52,744.4954481124878,487.1166527271271,1.0,995.4295008182526,486.28686785697937,0.9999996423721313
53,745.7234256267548,484.63214588165283,1.0,995.9076340273023,486.231237411499,0.9999938011169434
54,747.1167345643044,484.844206571579,1.0,997.8951127529144,496.0019953250885,0.9999642372131348
55,747.6143688857555,478.8829085826874,1.0,998.416912317276,496.9008078575134,0.9999834299087524
56,748.214262291789,475.7531099319458,1.0,998.5723094940186,495.8727855682373,0.999994158744812
57,749.4276963472366,473.5740203857422,1.0,998.7309617996216,495.6556191444397,0.9999788999557495
58,749.2091284990311,474.45440578460693,1.0,998.5778543949127,495.85672187805176,0.9999971389770508
59,751.3716254234314,475.4103523492813,1.0,1003.0042086839676,495.86535358428955,0.9896444082260132
60,753.1262900829315,478.19750475883484,1.0,996.9579156041145,505.1168568134308,0.9999903440475464
61,754.6355475187302,479.0936679840088,1.0,996.5984210968018,507.7331412136555,0.9999969005584717
62,756.4796074032784,479.6645724773407,1.0,997.9372839927673,507.6383146941662,0.9999262094497681
63,757.0458915233612,481.2768876552582,1.0,998.1060979366302,507.73504507541656,0.9999105930328369
64,763.125797688961,479.68409395217896,1.0,1000.1932210922241,515.0885477662086,0.999883770942688
65,770.6037727594376,480.3017249107361,1.0,999.6535456180573,516.3079920113087,0.9999792575836182
66,773.1788889169693,484.06095768511295,1.0,1006.7183465957642,524.3569775521755,0.9999831914901733
67,779.2910387516022,486.8442177772522,1.0,1011.2793660759926,536.2333776950836,0.9999529123306274
68,783.7800290584564,488.26398515701294,1.0,1011.7452701926231,526.7078378200531,0.9999347925186157
69,788.4049444794655,488.25135946273804,1.0,1016.6918992996216,551.2495460510254,0.996253490447998
70,792.1512968540192,487.6054780483246,1.0,1020.4595054090023,538.9732528924942,0.9999771118164062
71,795.6416549682617,487.2719178199768,1.0,1021.1806516647339,546.576203584671,0.9998619556427002
72,798.8615071773529,486.8912854194641,1.0,1023.3886728286743,542.0049357414246,0.9998900890350342
73,802.2643873691559,487.2586808204651,1.0,1026.3378442525864,542.0213582515717,0.9999494552612305
74,803.333164036274,487.9347870349884,1.0,1026.5362681150436,546.3945114612579,0.9998663663864136
75,803.5506110191345,488.49604177474976,0.9999998807907104,1026.1097379922867,547.6475888192654,0.999815046787262
