scorer,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000
bodyparts,right hand,right hand,right hand,left hand,left hand,left hand,right ear,right ear,right ear,left ear,left ear,left ear,nose,nose,nose
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
40,872.5641512870789,651.0282626152039,0.9999996423721313,848.8020935058594,786.5038925409317,0.9999889135360718,774.119699716568,476.2276196628809,0.9999998807907104,1013.0000551939011,508.73837357759476,1.0,909.01582467556,478.9274067878723,0.9730087518692017
41,870.1544826030731,673.8343200683594,1.0,846.1743712425232,805.0398238897324,0.999998927116394,773.3194986581802,476.7524687051773,1.0,1014.1504130363464,508.9942171573639,1.0,882.0661885738373,466.55521619319916,0.9994066953659058
42,867.3009562492371,694.981283903122,1.0,846.457633972168,820.625047326088,0.9999986886978149,771.4527405500412,478.22123193740845,1.0,1014.4556488990784,506.27607345581055,1.0,903.6025860309601,468.0343507565558,0.9965267777442932
43,866.5711132287979,712.1311359405518,1.0,877.2682683467865,707.5827207267284,0.008036741055548191,765.7579616308212,482.7993849515915,1.0,1008.379298210144,497.0179719924927,1.0,871.6965680122375,456.72640466690063,0.9999955892562866
44,869.585548043251,727.0075304508209,0.9999994039535522,934.2303922176361,697.7481248378754,0.9982361793518066,761.0957837104797,481.78434801101685,1.0,1004.7210954427719,487.28283739089966,0.9999996423721313,868.8680135011673,462.6098527908325,1.0
45,880.3175513744354,740.9121079444885,0.9999964237213135,943.1351313591003,603.3081957101822,0.9291666150093079,753.4553799629211,486.2364628314972,1.0,998.756712436676,480.75227785110474,1.0,875.793999761343,464.78384494781494,1.0
46,890.9357507228851,757.4433525800705,0.9999991655349731,910.0468683242798,609.6240122318268,0.9848618507385254,747.8718191385269,488.84448623657227,0.9999995231628418,993.5624885559082,477.257586479187,1.0,878.1865861415863,480.9860918521881,1.0
47,896.4857077598572,771.4731624722481,0.9999494552612305,895.2224309444427,636.8249063491821,0.9999908208847046,743.9690062999725,491.612542450428,0.9999985694885254,991.8717422485352,474.8648157119751,1.0,874.4089790582657,486.01043224334717,1.0
48,898.1474423408508,790.8935596942902,0.9932191967964172,893.6887961626053,655.6945199966431,0.9999998807907104,743.0211269855499,492.3252034187317,0.9999997615814209,992.6833100318909,475.5673620700836,0.9999998807907104,872.0509521961212,490.6107519865036,0.997661828994751
49,895.6876075267792,807.1930632591248,0.9999929666519165,892.9659177660942,670.6155433654785,0.9999966621398926,742.7151336669922,492.2788496315479,0.9999998807907104,989.2134567499161,478.65036630630493,0.9999997615814209,900.1909828335047,501.81248700618744,0.9986469149589539
50,894.5387327671051,824.4361386299133,0.9999914169311523,893.8892052173615,689.1844391822815,1.0,743.0635750293732,490.986265540123,0.9999996423721313,991.5563521385193,480.05749583244324,1.0,863.6452012062073,496.6891679763794,0.38354238867759705
51,886.6448936462402,844.0499545633793,0.999777615070343,893.1140954494476,714.493167757988,0.9999982118606567,743.1958594322205,489.5022659301758,0.9999997615814209,990.9768307209015,481.089448928833,1.0,867.0728197097778,484.8939074873924,1.0
52,883.7838140130043,857.5981597900391,0.9999606609344482,888.9026536941528,730.5779149532318,0.9999985694885254,745.789927482605,487.4118859767914,0.9999998807907104,992.9492843151093,484.31821393966675,1.0,872.1696901321411,470.8649356365204,0.9999704360961914
53,879.9783399105072,868.4950999617577,0.999883770942688,883.8729168772697,748.0362096168101,0.9999992847442627,746.8304573297501,485.45648407936096,1.0,994.548796415329,486.99724984169006,1.0,872.9975483417511,466.4364491701126,0.9999967813491821
54,869.1426686048508,868.1881138533354,0.9889161586761475,879.5497937202454,760.2409029006958,0.9999992847442627,748.4717119634151,482.1824916601181,1.0,994.949948310852,486.8457760810852,1.0,872.14133477211,463.53757429122925,0.9999954700469971
55,867.2263408303261,774.0213191509247,0.04812367632985115,878.1935200691223,768.5510394573212,0.9999961853027344,748.3887042403221,481.7388563156128,1.0,995.947800591588,486.59608578681946,1.0,876.1820178627968,450.2525999546051,0.9999994039535522
56,860.0720051750541,856.7006385326385,0.698402464389801,875.9085630625486,773.0592926740646,0.9999994039535522,750.2091269493103,476.5498651266098,0.9999997615814209,995.8142395168543,484.11285343021154,1.0,873.6020729541779,452.13543297350407,1.0
57,844.4563357830048,842.59530377388,0.030784092843532562,876.2388387173414,776.3709497451782,0.9999969005584717,750.0177807807922,475.29366940259933,0.9999994039535522,996.9484837651253,481.5951976776123,1.0,870.6493480205536,458.94048857688904,1.0
58,812.6874318122864,752.91139960289,0.998862624168396,873.1233651638031,775.2965135574341,0.9999986886978149,748.5492987632751,479.04784297943115,1.0,997.2022362947464,485.52700793743134,1.0,866.665586233139,481.62462544441223,0.9999998807907104
59,799.1094489097595,650.5863616466522,0.9999992847442627,865.0816857814789,777.2375626564026,0.9991698265075684,753.1084864139557,474.3379077911377,1.0,995.2087017893791,493.00965905189514,1.0,863.5906991958618,506.70584428310394,1.0
60,818.4465355873108,641.9425265789032,0.9987269043922424,853.7477935552597,780.7665174603462,0.9999964237213135,756.199635669589,477.7424875497818,1.0,995.1427667737007,500.39780789613724,1.0,863.4144558906555,516.0054605538025,0.9980489015579224
61,848.9077858924866,652.2568932771683,1.0,850.964093208313,774.2844333648682,0.9999997615814209,757.2636531591415,477.26786863803864,1.0,995.0451914072037,501.08988416194916,1.0,862.5782573223114,526.0894310474396,0.9999996423721313
62,859.1180483102798,655.282871723175,1.0,851.4267499446869,771.2366310358047,0.9999998807907104,756.7599520683289,480.21345949172974,0.9999996423721313,995.8440859466791,502.02887320518494,1.0,868.169661551714,524.114126637578,1.0
63,864.3221364021301,656.7129616737366,1.0,851.1911460757256,771.1774922013283,0.9999998807907104,763.0043179392815,473.8223223686218,0.9999997615814209,995.1793511509895,503.89359879493713,1.0,876.1019498854876,527.4330387115479,0.9999985694885254
64,869.1568347215652,658.5724160671234,1.0,849.1910092830658,765.1541675329208,0.9999996423721313,765.7790532112122,473.92949652671814,0.9999948740005493,995.5725812613964,506.01395428180695,1.0,887.3894741535187,546.207395195961,0.9999998807907104
65,879.4849917888641,656.4848532676697,1.0,845.4583903551102,756.4900646805763,0.9999998807907104,769.4303796291351,476.1122327297926,0.9999998807907104,998.0758490562439,513.6711871623993,1.0,897.3007376194,565.9261118173599,0.00643999082967639
66,882.7314261198044,660.653097987175,1.0,844.8110148906708,755.8720447570086,0.9999998807907104,773.1864429712296,481.7569332122803,1.0,1005.4752719402313,520.4732213020325,0.9999992847442627,899.7743598669767,570.0814222097397,0.015132213942706585
67,883.2435538172722,661.1760236024857,1.0,844.1311788707972,755.2603214383125,1.0,779.2213115692139,482.03961849212646,0.9999995231628418,1010.4978066682816,524.7528404593468,0.9999996423721313,900.5955528020859,571.050085246563,0.02194265089929104
