scorer,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000
bodyparts,right ear,right ear,right ear,left ear,left ear,left ear
coords,x,y,likelihood,x,y,likelihood
50,800.0965189933777,294.86795353889465,0.9999998807907104,1065.179741859436,306.50200843811035,0.9999953508377075
51,807.4944310188293,292.5156923532486,0.9998500347137451,1067.9656853191555,323.5707423388958,0.9999866485595703
52,808.023690700531,298.6182904243469,0.9999589920043945,1062.8452064990997,337.91241359710693,0.9999703168869019
53,811.7817192822695,294.4142096042633,0.9999462366104126,1064.7980239391327,340.4829931259155,0.9999216794967651
54,795.6565006971359,327.63435077667236,0.9922516942024231,1063.4732954502106,339.8048465847969,0.9999650716781616
55,802.5781810283661,308.5592850446701,0.9998382329940796,1060.7009800076485,334.5073115825653,0.9999797344207764
56,798.2098526954651,312.8006000518799,0.9999474287033081,1058.7618857622147,326.1296753883362,0.9971876740455627
57,795.9430982246995,322.4625713825226,0.9999927282333374,1062.979313135147,316.2121026366949,0.9999969005584717
58,791.0322751998901,312.32014179229736,0.9999998807907104,1055.2677202224731,306.8337559700012,0.9991661310195923
59,785.2630097866058,319.92654943466187,1.0,1044.9775094985962,284.2710590660572,0.9999973773956299
60,782.2402341365814,320.06806993484497,1.0,1039.0658440589905,278.53384470939636,0.9999837875366211
61,782.5057191848755,311.67533826828003,1.0,1041.8242983818054,282.8580492734909,0.9999716281890869
62,786.0644482374191,304.03581190109253,1.0,1053.441081047058,304.09105801582336,0.9999886751174927
63,785.1162474155426,309.91828179359436,0.9999997615814209,1052.4810576438904,300.4652519226074,0.9998743534088135
64,787.3945635557175,327.0337977409363,0.9999998807907104,1053.3536289930344,323.9331321269274,0.999998927116394
65,787.5936214923859,352.8988080024719,0.9999988079071045,1053.822098493576,344.32340955734253,0.9999580383300781
66,788.2944023609161,357.22286236286163,0.9997321963310242,1053.1593137979507,357.9121743440628,0.9997192025184631
67,786.9357349872589,363.25787538290024,0.9998100399971008,1051.9423987194896,362.02887988090515,0.9992231130599976
68,784.8210046291351,366.79227018356323,0.9996945858001709,1044.2780026495457,358.4242777824402,0.9999877214431763
69,787.3196900486946,346.88456404209137,0.9999898672103882,1050.1623315811157,358.3219380378723,0.9999667406082153
70,800.4828650951385,329.2696952819824,0.9906631708145142,1057.5453629493713,364.59555435180664,0.999998927116394
71,800.3090493679047,327.85868215560913,0.9994947910308838,1056.7133452892303,355.7750519067049,0.9999555349349976
